date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:07:50	394/394	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Apr%202023%2004:07:49%20GMT	https://yqjh-auto.my.canva.site/robots.txt		(from )
12:07:50	112261/112261	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202023%2004:07:49%20GMT	https://yqjh-auto.my.canva.site/	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/index.html	(from )
12:07:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:07:50%20GMT	http://yqjh-auto.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.0.delayed	(from https://yqjh-auto.my.canva.site/)
12:07:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:07:51%20GMT	http://yqjh-auto.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://yqjh-auto.my.canva.site/)
12:07:51	510/510	---MC-	200	added ('OK')	image/png	date:Sat,%2001%20Apr%202023%2004:07:51%20GMT	https://yqjh-auto.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	(from https://yqjh-auto.my.canva.site/)
12:07:52	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:07:52%20GMT	http://yqjh-auto.my.canva.site/725b756a69a7d4c235070e51acd85560.png	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/725b756a69a7d4c235070e51acd85560.png	(from https://yqjh-auto.my.canva.site/)
12:07:52	1053/1053	---MC-	200	added ('OK')	image/png	date:Sat,%2001%20Apr%202023%2004:07:51%20GMT	https://yqjh-auto.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://yqjh-auto.my.canva.site/)
12:07:53	6245/6245	---MC-	200	added ('OK')	image/png	date:Sat,%2001%20Apr%202023%2004:07:52%20GMT	https://yqjh-auto.my.canva.site/725b756a69a7d4c235070e51acd85560.png	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/725b756a69a7d4c235070e51acd85560.png	(from https://yqjh-auto.my.canva.site/)
12:07:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:07:53%20GMT	http://yqjh-auto.my.canva.site/fonts/9504b09b02e0a62a1cc1e69422e2d5ee.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/9504b09b02e0a62a1cc1e69422e2d5ee.woff2	(from https://yqjh-auto.my.canva.site/)
12:07:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:07:53%20GMT	http://yqjh-auto.my.canva.site/fonts/a50ddeeabd96a04242b27210d2df3191.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/a50ddeeabd96a04242b27210d2df3191.woff2	(from https://yqjh-auto.my.canva.site/)
12:07:54	37700/37700	---MC-	200	added ('OK')	application/octet-stream	date:Sat,%2001%20Apr%202023%2004:07:53%20GMT	https://yqjh-auto.my.canva.site/fonts/9504b09b02e0a62a1cc1e69422e2d5ee.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/9504b09b02e0a62a1cc1e69422e2d5ee.woff2	(from https://yqjh-auto.my.canva.site/)
12:07:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:07:54%20GMT	http://yqjh-auto.my.canva.site/fonts/ede29efdfaa56ab47100422eb483e26c.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/ede29efdfaa56ab47100422eb483e26c.woff2	(from https://yqjh-auto.my.canva.site/)
12:07:55	37652/37652	---MC-	200	added ('OK')	application/octet-stream	date:Sat,%2001%20Apr%202023%2004:07:54%20GMT	https://yqjh-auto.my.canva.site/fonts/a50ddeeabd96a04242b27210d2df3191.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/a50ddeeabd96a04242b27210d2df3191.woff2	(from https://yqjh-auto.my.canva.site/)
12:07:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:07:56%20GMT	http://yqjh-auto.my.canva.site/fonts/346a7d829e2772dc095a1a04c9c97ff9.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/346a7d829e2772dc095a1a04c9c97ff9.woff2	(from https://yqjh-auto.my.canva.site/)
12:07:57	40720/40720	---MC-	200	added ('OK')	application/octet-stream	date:Sat,%2001%20Apr%202023%2004:07:55%20GMT	https://yqjh-auto.my.canva.site/fonts/ede29efdfaa56ab47100422eb483e26c.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/ede29efdfaa56ab47100422eb483e26c.woff2	(from https://yqjh-auto.my.canva.site/)
12:07:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:07:57%20GMT	http://yqjh-auto.my.canva.site/fonts/9494f841057c7b5cda3da2221562752f.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/9494f841057c7b5cda3da2221562752f.woff2	(from https://yqjh-auto.my.canva.site/)
12:07:58	40384/40384	---MC-	200	added ('OK')	application/octet-stream	date:Sat,%2001%20Apr%202023%2004:07:57%20GMT	https://yqjh-auto.my.canva.site/fonts/346a7d829e2772dc095a1a04c9c97ff9.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/346a7d829e2772dc095a1a04c9c97ff9.woff2	(from https://yqjh-auto.my.canva.site/)
12:08:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:07:58%20GMT	http://yqjh-auto.my.canva.site/fonts/fcc56d51467bb259e73280fb1ab5a50b.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/fcc56d51467bb259e73280fb1ab5a50b.woff2	(from https://yqjh-auto.my.canva.site/)
12:08:00	7240/7240	---MC-	200	added ('OK')	application/octet-stream	date:Sat,%2001%20Apr%202023%2004:07:58%20GMT	https://yqjh-auto.my.canva.site/fonts/9494f841057c7b5cda3da2221562752f.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/9494f841057c7b5cda3da2221562752f.woff2	(from https://yqjh-auto.my.canva.site/)
12:08:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:08:00%20GMT	http://yqjh-auto.my.canva.site/fonts/ed21d9ecf31ad25f15eebbf7da9586c4.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/ed21d9ecf31ad25f15eebbf7da9586c4.woff2	(from https://yqjh-auto.my.canva.site/)
12:08:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:08:01%20GMT	http://yqjh-auto.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	(from https://yqjh-auto.my.canva.site/)
12:08:04	4256064/4256064	---MC-	200	added ('OK')	application/octet-stream	date:Sat,%2001%20Apr%202023%2004:08:00%20GMT	https://yqjh-auto.my.canva.site/fonts/fcc56d51467bb259e73280fb1ab5a50b.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/fcc56d51467bb259e73280fb1ab5a50b.woff2	(from https://yqjh-auto.my.canva.site/)
12:08:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:08:04%20GMT	http://yqjh-auto.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	(from https://yqjh-auto.my.canva.site/)
12:08:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:08:05%20GMT	http://yqjh-auto.my.canva.site/fonts/d257a7100844bc3f98c9021168b6249e.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/d257a7100844bc3f98c9021168b6249e.woff2	(from https://yqjh-auto.my.canva.site/)
12:08:07	194188/194188	---MC-	200	added ('OK')	application/octet-stream	date:Sat,%2001%20Apr%202023%2004:08:04%20GMT	https://yqjh-auto.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	(from https://yqjh-auto.my.canva.site/)
12:08:07	194064/194064	---MC-	200	added ('OK')	application/octet-stream	date:Sat,%2001%20Apr%202023%2004:08:05%20GMT	https://yqjh-auto.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	(from https://yqjh-auto.my.canva.site/)
12:08:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:08:08%20GMT	http://yqjh-auto.my.canva.site/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	(from https://yqjh-auto.my.canva.site/)
12:08:10	201132/201132	---MC-	200	added ('OK')	application/octet-stream	date:Sat,%2001%20Apr%202023%2004:08:08%20GMT	https://yqjh-auto.my.canva.site/fonts/d257a7100844bc3f98c9021168b6249e.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/d257a7100844bc3f98c9021168b6249e.woff2	(from https://yqjh-auto.my.canva.site/)
12:08:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:08:10%20GMT	http://yqjh-auto.my.canva.site/images/6590d55fc67b241fef35777a253200fe.png	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/images/6590d55fc67b241fef35777a253200fe.png	(from https://yqjh-auto.my.canva.site/)
12:08:11	203232/203232	---MC-	200	added ('OK')	application/octet-stream	date:Sat,%2001%20Apr%202023%2004:08:10%20GMT	https://yqjh-auto.my.canva.site/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	(from https://yqjh-auto.my.canva.site/)
